MPG_City,Horsepower,Weight,Cylinders,Irit_Boros
17,265,4451,6.0,0
24,200,2778,4.0,1
22,200,3230,4.0,1
20,270,3575,6.0,1
18,225,3880,6.0,0
18,225,3893,6.0,0
17,290,3153,6.0,0
22,170,3252,4.0,1
23,170,3638,4.0,1
20,220,3462,6.0,1
17,220,3583,6.0,0
18,220,3627,6.0,0
20,220,3561,6.0,1
18,220,3880,6.0,0
20,220,3814,6.0,1
18,220,4013,6.0,0
18,250,3836,6.0,0
17,300,4024,8.0,0
17,330,4399,8.0,0
14,340,3825,8.0,0
15,450,4024,8.0,0
20,180,3131,4.0,1
20,225,2921,4.0,1
21,250,3351,6.0,1
18,220,4035,6.0,0
15,340,3936,8.0,0
16,225,4023,6.0,0
16,325,4824,8.0,0
20,184,3219,6.0,1
20,184,3197,6.0,1
19,184,3560,6.0,1
19,184,3461,6.0,1
20,225,3285,6.0,1
20,225,3285,6.0,1
20,225,3483,6.0,1
19,184,3428,6.0,1
19,225,3616,6.0,1
20,225,3472,6.0,1
18,325,3814,8.0,0
18,325,4376,8.0,0
18,325,4464,8.0,0
16,333,3415,6.0,0
16,333,3781,6.0,0
20,184,2932,6.0,1
21,225,2998,6.0,1
19,184,3594,6.0,1
15,275,4600,6.0,0
19,185,4024,6.0,1
20,175,3353,6.0,1
20,205,3567,6.0,1
20,200,3461,6.0,1
18,240,3536,6.0,0
20,205,3591,6.0,1
20,205,3778,6.0,1
18,240,3909,6.0,0
14,295,5367,8.0,0
16,320,4302,8.0,0
18,255,3694,6.0,0
18,275,3984,8.0,0
18,300,4044,8.0,0
18,275,3992,8.0,0
17,320,3647,8.0,0
13,345,5879,8.0,0
14,295,4947,8.0,0
14,295,5050,8.0,0
16,275,4425,6.0,0
19,165,2866,6.0,1
28,103,2370,4.0,1
28,103,2348,4.0,1
26,140,2617,4.0,1
26,140,2676,4.0,1
26,140,2617,4.0,1
21,180,3465,6.0,1
24,145,3174,4.0,1
22,200,3297,6.0,1
21,180,3340,6.0,1
20,200,3476,6.0,1
18,240,3606,6.0,0
23,200,3315,6.0,1
18,200,3434,6.0,0
14,190,4605,6.0,0
19,185,3699,6.0,1
18,350,3246,8.0,0
18,350,3248,8.0,0
14,295,5678,8.0,0
18,175,3623,4.0,0
15,200,4142,6.0,0
13,300,4804,8.0,0
16,300,4760,8.0,0
22,200,3458,6.0,1
22,150,3101,4.0,1
22,150,3105,4.0,1
22,150,3173,4.0,1
21,200,3222,6.0,1
18,250,3581,6.0,0
21,200,3479,6.0,1
19,232,3548,6.0,1
21,220,3217,4.0,1
22,150,3357,4.0,1
18,255,3650,6.0,0
21,200,3448,6.0,1
19,180,4068,6.0,1
18,215,4331,6.0,0
17,215,3060,6.0,0
17,250,4675,6.0,0
15,230,4987,8.0,0
29,132,2581,4.0,1
29,132,2626,4.0,1
21,200,3469,6.0,1
21,150,3182,4.0,1
21,150,3175,4.0,1
18,232,3487,6.0,0
20,150,3862,4.0,1
18,215,4440,6.0,0
12,500,3410,10.0,0
16,210,3714,6.0,0
16,210,3829,6.0,0
16,215,4542,6.0,0
10,310,7190,10.0,0
15,232,5000,8.0,0
